id,name,country_code,country_name,latitude,longitude
2911298,Hamburg,DE,Germany,53.55073,9.99302
3054643,Budapest,HU,Hungary,47.49835,19.04045
3169070,Rome,IT,Italy,41.89193,12.51133
703448,Kyiv,UA,Ukraine,50.45466,30.5238
3128760,Barcelona,ES,Spain,41.38879,2.15899
745044,Istanbul,TR,Turkey,41.01384,28.94966
323786,Ankara,TR,Turkey,39.91987,32.85427
3117735,Madrid,ES,Spain,40.4165,-3.70256
2988507,Paris,FR,France,48.85341,2.3488
498817,Saint Petersburg,RU,Russian Federation,59.93863,30.31413
625144,Minsk,BY,Belarus,53.9,27.56667
2643743,London,GB,United Kingdom,51.50853,-0.12574
683506,Bucharest,RO,Romania,44.43225,26.10626
2950159,Berlin,DE,Germany,52.52437,13.41053
524901,Moscow,RU,Russian Federation,55.75222,37.61556
2673730,Stockholm,SE,Sweden,59.32938,18.06871
756135,Warsaw,PL,Poland,52.22977,21.01178
2761369,Vienna,AT,Austria,48.20849,16.37208
