id,track,driver,shipment_start_timestamp,shipment_end_timestamp,start_location,end_location,shipment_distance,consumed_fuel
9919,6305,4272,2022-07-29 20:12:53.027776,2022-07-30 22:52:32.9034,Hamburg,Barcelona,1769.4066,342.89
9963,6931,3438,2022-07-23 19:33:42.412344,2022-07-25 07:43:57.066507,Hamburg,Ankara,2752.1785,506.77
9969,2514,4797,2022-07-29 18:01:08.431993,2022-07-30 06:24:11.660956,Hamburg,London,865.4814,161.01
9913,2531,9127,2022-07-06 00:16:40.813996,2022-07-06 14:22:57.521956,Hamburg,Stockholm,974.03534,180.04
9691,9035,7504,2022-07-18 01:01:13.147528,2022-07-18 17:31:10.597189,Hamburg,Budapest,1113.695,204.33
9889,8949,8806,2022-07-09 01:50:43.652738,2022-07-09 22:49:28.769981,Hamburg,Rome,1573.508,300.02
9831,5086,9421,2022-07-18 13:43:00.806054,2022-07-19 10:02:41.553551,Hamburg,Rome,1573.508,283.26
9828,2753,1995,2022-07-05 15:18:43.952408,2022-07-07 01:47:46.279771,Hamburg,Ankara,2752.1785,533.19
9876,4640,5396,2022-07-21 14:16:28.537557,2022-07-21 18:52:32.280401,Hamburg,Berlin,306.79266,56.12
9801,2089,4259,2022-07-13 19:57:11.173391,2022-07-14 07:41:09.318301,Hamburg,Warsaw,904.4566,163.11
9705,4918,7191,2022-07-05 14:52:03.241306,2022-07-06 15:38:01.412952,Hamburg,Bucharest,1857.4374,364.67
9736,5467,7300,2022-07-18 16:58:55.767409,2022-07-18 21:10:01.394976,Hamburg,Berlin,306.79266,54.83
9795,3988,3447,2022-07-28 23:08:49.13106,2022-07-30 07:28:54.812802,Hamburg,Moscow,2140.3328,390.4
9758,1957,4754,2022-07-02 15:43:59.866252,2022-07-03 04:57:42.042394,Hamburg,Vienna,892.74927,172.43
9646,4377,6810,2022-07-10 15:44:29.372309,2022-07-11 13:46:03.752611,Hamburg,Saint Petersburg,1705.7284,323.73
9692,3415,6889,2022-07-01 07:27:11.642388,2022-07-01 19:51:37.11194,Hamburg,London,865.4814,162.74
9644,5535,1835,2022-07-15 03:34:23.182295,2022-07-15 07:26:17.915367,Hamburg,Berlin,306.79266,58.45
9696,8410,1042,2022-07-14 17:16:28.191544,2022-07-15 05:45:34.844229,Hamburg,Warsaw,904.4566,175.67
9627,4112,7949,2022-07-05 21:09:37.032836,2022-07-06 10:20:47.410383,Hamburg,Vienna,892.74927,160.75
9555,8094,1305,2022-07-14 20:11:09.6514,2022-07-15 15:15:46.425752,Hamburg,Minsk,1386.1572,271.28
9598,1125,4842,2022-07-10 14:11:21.1639,2022-07-11 03:18:51.234308,Hamburg,Warsaw,904.4566,174.46
9521,6987,9396,2022-07-14 19:54:06.594813,2022-07-15 09:01:19.802658,Hamburg,Warsaw,904.4566,166.25
9431,1020,5474,2022-07-08 04:45:06.235814,2022-07-09 03:16:04.801809,Hamburg,Rome,1573.508,301.95
9423,6478,3101,2022-07-11 03:06:57.845662,2022-07-12 03:44:30.128486,Hamburg,Kyiv,1731.6511,330.03
9460,2756,4560,2022-07-30 02:43:22.268582,2022-07-31 09:05:09.938834,Hamburg,Madrid,2145.1428,409.87
9485,5095,2388,2022-07-05 19:36:51.244827,2022-07-06 19:20:32.997246,Hamburg,Bucharest,1857.4374,343.99
9475,7897,4063,2022-07-21 03:11:44.216407,2022-07-22 07:22:54.881015,Hamburg,Moscow,2140.3328,387.65
